time,kw
542,40168.0
543,40471.0
544,41320.0
545,41967.0
546,42012.0
547,42523.0
548,42557.0
549,42307.0
550,41932.0
551,41868.0
552,41960.0
553,41958.0
554,41711.0
555,41738.0
556,41840.0
557,41886.0
558,42343.0
559,43376.0
560,43700.0
561,44030.0
562,44207.0
563,42981.0
564,42838.0
565,42860.0
566,42929.0
567,42959.0
568,42052.0
569,44817.0
570,47547.0
571,46946.0
572,46626.0
573,45905.0
574,46057.0
575,45941.0
576,45944.0
577,44754.0
578,42890.0
579,42997.0
580,42996.0
581,42949.0
582,42830.0
583,44175.0
584,44420.0
585,43806.0
586,42514.0
587,40429.0
588,37850.0
589,37501.0
590,37332.0
591,37336.0
592,37306.0
593,37394.0
594,37601.0
595,38029.0
596,38427.0
597,38314.0
598,37465.0
599,37501.0
600,37512.0
601,36835.0
602,37060.0
603,37522.0
604,37873.0
605,37868.0
606,38729.0
607,39204.0
608,39897.0
609,38734.0
610,37503.0
611,35576.0
612,35000.0
613,33839.0
614,34003.0
615,35926.0
616,35898.0
617,36076.0
618,36057.0
619,36751.0
620,36573.0
621,36171.0
622,35950.0
623,35889.0
624,35793.0
625,35725.0
626,35682.0
627,35641.0
628,35808.0
629,35592.0
630,35554.0
631,36021.0
632,35931.0
633,36194.0
634,35242.0
635,37476.0
636,36490.0
637,36433.0
638,36285.0
639,35630.0
640,35913.0
641,36342.0
642,37354.0
643,37205.0
644,38074.0
645,38145.0
646,38936.0
647,38795.0
648,38429.0
649,38015.0
650,37803.0
651,37758.0
652,37739.0
653,38166.0
654,38343.0
655,39667.0
656,39850.0
657,38824.0
658,37613.0
659,37273.0
660,36811.0
661,36201.0
662,35908.0
663,35788.0
664,35939.0
665,36316.0
666,37700.0
667,39461.0
668,39741.0
669,40616.0
670,40652.0
671,41146.0
672,40819.0
673,40127.0
674,40299.0
675,40080.0
676,40206.0
677,40294.0
678,40145.0
679,40037.0
680,40481.0
681,40844.0
682,40601.0
683,40636.0
684,40573.0
685,40628.0
686,40651.0
687,40941.0
688,41267.0
689,41401.0
690,41590.0
691,41355.0
692,41631.0
693,41650.0
694,41684.0
695,41710.0
696,41505.0
697,41571.0
698,41348.0
699,41781.0
700,41689.0
701,41554.0
702,42611.0
703,43519.0
704,43765.0
705,43154.0
706,41795.0
707,41660.0
708,41118.0
709,40778.0
710,39998.0
711,39223.0
712,39596.0
713,40537.0
714,40826.0
715,40459.0
716,40544.0
717,40545.0
718,40559.0
719,40271.0
720,39892.0
721,39551.0
722,38759.0
723,38879.0
724,38763.0
725,38685.0
726,38928.0
727,39926.0
728,40145.0
729,38948.0
730,11589.0
731,11478.0
732,11473.0
733,11394.0
734,11419.0
735,11103.0
736,11304.0
737,11560.0
738,11911.0
739,11971.0
740,12007.0
741,12009.0
742,11908.0
743,11952.0
744,11965.0
745,11946.0
746,11983.0
747,11995.0
748,12000.0
749,12003.0
750,11935.0
751,11918.0
752,11885.0
753,11899.0
754,11835.0
755,11394.0
756,11381.0
757,11135.0
758,11135.0
759,11128.0
760,11115.0
761,11140.0
762,11142.0
763,11136.0
764,11169.0
765,11580.0
766,11476.0
767,11544.0
768,11706.0
