time,kw
3573,53932.0
3574,52844.0
3575,51092.0
3576,49992.0
3577,49784.0
3578,48868.0
3579,49136.0
3580,48297.0
3581,46869.0
3582,47997.0
3583,49393.0
3584,51241.0
3585,51253.0
3586,52149.0
3587,53161.0
3588,53821.0
3589,52201.0
3590,53061.0
3591,54245.0
3592,54349.0
3593,55497.0
3594,54269.0
3595,55117.0
3596,56453.0
3597,55729.0
3598,53373.0
3599,51637.0
3600,50721.0
3601,49145.0
3602,49617.0
3603,48641.0
3604,47713.0
3605,47365.0
3606,49541.0
3607,51321.0
3608,51229.0
3609,52909.0
3610,52789.0
3611,53173.0
3612,53857.0
3613,54469.0
3614,54857.0
3615,54689.0
3616,54133.0
3617,54005.0
3618,52665.0
3619,53121.0
3620,53869.0
3621,52717.0
3622,51605.0
3623,50781.0
3624,50433.0
3625,49769.0
3626,48953.0
3627,48025.0
3628,47649.0
3629,46673.0
3630,49273.0
3631,52317.0
3632,52633.0
3633,53681.0
3634,53749.0
3635,52721.0
3636,52317.0
3637,53073.0
3638,53633.0
3639,53829.0
3640,53897.0
3641,53849.0
3642,51801.0
3643,53029.0
3644,54869.0
3645,53825.0
3646,51781.0
3647,50545.0
3648,48905.0
3649,48789.0
3650,53358.0
3651,53402.0
3652,54126.0
3653,54450.95
3654,58303.5739
3655,59733.7843
3656,61701.7142
3657,61305.124
3658,61141.5847
3659,61623.835
3660,64069.582
3661,62607.617
3662,63824.436
3663,62273.684
3664,61468.226
3665,59436.1522
3666,56791.0741
3667,56657.6032
3668,57097.0
3669,57591.0
3670,57867.0
3671,56286.0
3672,55695.0
3673,53560.0
3674,52056.0
3675,51741.0
3676,51302.0
3677,51577.2462
3678,54758.1162
3679,57123.178
3680,59335.918
3681,57236.286
3682,57984.04
3683,58510.026
3684,59265.128
3685,59712.554
3686,59857.237
3687,59009.83
3688,57185.839
3689,54692.6781
3690,53071.0416
3691,51482.5589
3692,51363.0
3693,53524.0
3694,53300.0
3695,52444.0
3696,52116.0
3697,51217.0
3698,50589.0
3699,49575.0
3700,49951.0
3701,50363.0796
3702,53395.6706
3703,56009.333
3704,57111.1
3705,57612.142
3706,63063.712
3707,63458.599
3708,62802.106
3709,64223.717
3710,64347.458
3711,63665.841
3712,61986.781
3713,59826.0751
3714,56838.6647
3715,55229.766
3716,56506.0
3717,57591.0
3718,60212.0
3719,59801.999
3720,59331.0
3721,58765.0
3722,57822.0
3723,57398.0
3724,57523.0
3725,57655.001
3726,57166.089
3727,51927.7349
3728,55660.3186
3729,55094.9365
3730,57657.546
3731,58361.477
3732,58834.2371
3733,59567.42
3734,59584.3387
3735,60228.519
3736,59980.39
3737,60046.837
3738,60348.9494
3739,61136.7272
3740,60767.0
3741,57881.0
3742,57493.0
3743,56692.0
3744,55932.0
3745,54952.0
3746,53871.0
3747,52067.0
3748,50947.0
3749,50485.9784
3750,51989.0427
3751,53142.955
3752,55499.322
3753,56198.092
3754,57505.002
3755,59442.726
3756,55091.917
3757,51020.876
3758,54058.591
3759,52501.249
3760,52007.304
3761,53747.488
3762,51475.6682
3763,52181.0093
3764,52339.0
3765,49433.0
3766,50277.0
3767,48339.0
3768,47273.0
3769,47065.999
3770,46597.0
3771,46501.0
3772,46702.0
3773,48342.7997
3774,52163.2237
3775,55904.505
3776,55977.896
3777,58495.214
3778,59977.275
3779,58123.189
3780,57347.785
3781,58462.207
3782,58921.517
3783,59489.331
3784,55203.081
3785,54798.787
3786,53558.4947
3787,53299.3992
3788,54731.0
3789,53521.0
3790,53260.999
3791,52323.0
3792,50546.0
3793,49987.0
3794,49390.0
3795,48937.0
3796,49065.0
3797,48578.6901
3798,49225.0822
3799,50628.636
3800,54997.902
3801,56763.044
3802,55945.319
3803,59495.684
3804,58550.629
3805,59699.917
3806,60239.264
3807,59765.253
3808,55995.11
3809,54178.12
3810,51256.1412
3811,49751.3933
3812,49084.0
3813,49433.0
3814,46818.0
3815,46570.0
3816,45729.0
3817,44515.0
3818,44047.0
3819,43021.0
3820,42635.0
3821,43286.7834
3822,46356.3152
3823,51033.363
3824,54362.758
3825,53730.616
3826,53737.238
3827,54491.664
3828,54070.166
3829,53951.881
3830,55168.463
3831,54973.916
3832,52906.416
3833,51741.118
3834,51530.4845
3835,49524.5069
3836,51984.0
3837,52957.0
3838,53000.0
3839,51752.0
3840,50616.0
3841,50173.0
3842,50132.0
3843,47464.0
3844,47491.0
3845,45889.4885
3846,51685.9239
3847,54044.7469
3848,56208.783
3849,56713.402
3850,60057.542
3851,58312.239
3852,57673.32
3853,60479.965
3854,59580.075
3855,60377.35
3856,59128.325
3857,58405.5106
3858,57663.195
3859,56911.8373
3860,58987.0
3861,57409.0
3862,56365.0
3863,55325.0
3864,55440.0
3865,54857.0
3866,54963.0
3867,54573.0
3868,53313.0
3869,54526.549
3870,56265.7215
3871,59576.643
3872,62685.412
3873,63424.224
3874,64158.86
3875,68012.519
3876,66575.852
3877,66779.016
3878,65857.204
3879,65017.356
3880,63130.796
3881,63208.173
3882,61754.5577
3883,59700.0
3884,62472.0
3885,62693.0
3886,61887.0
3887,60322.0
3888,57962.0
3889,58430.0
3890,57305.0
3891,56919.0
3892,56715.0
3893,55093.8649
3894,54647.3218
3895,55353.493
3896,58353.814
3897,57672.914
3898,58942.923
3899,59595.151
3900,58078.978
3901,58988.4
3902,59305.775
3903,59825.755
3904,59126.287
3905,58080.999
3906,58457.1305
3907,58846.5244
3908,61900.0
3909,61483.0
3910,60752.0
3911,60198.0
3912,59158.0
3913,58696.001
3914,58105.999
3915,57070.0
3916,55601.0
3917,55778.2534
3918,55927.4405
3919,56669.311
3920,55292.868
3921,55527.82
3922,56443.205
3923,57474.509
3924,59509.206
3925,60409.076
3926,60122.879
3927,60424.028
3928,57876.485
3929,57485.922
3930,55417.9951
3931,55204.0593
3932,53887.0
3933,53315.0
3934,54025.0
3935,51899.0
3936,51006.0
3937,51668.0
3938,50117.0
3939,50091.0
3940,50001.0
3941,49692.1745
3942,51261.9361
3943,51719.705
3944,53549.952
3945,54174.728
3946,54006.665
3947,52735.478
3948,52434.037
3949,52143.927
3950,51534.625
3951,51261.149
3952,50424.502
3953,48835.577
3954,57361.0518
3955,44062.3759
3956,43940.0
3957,44887.0
3958,46510.0
3959,47296.0
3960,46996.0
3961,46067.0
3962,46318.0
3963,46598.0
3964,46939.0
3965,47700.7976
3966,49757.0
3967,49824.9557
3968,50733.085
3969,49170.148
3970,48992.688
3971,49718.686
3972,51057.024
3973,48315.6724
3974,48478.051
3975,47981.745
3976,47609.049
3977,45819.816
3978,44226.0319
3979,43591.2655
3980,45061.0
3981,46297.0
3982,48378.0
3983,49704.0
3984,48811.0
3985,47354.0
3986,47852.0
3987,47448.0
3988,47736.0
3989,50033.0
3990,50431.3242
3991,51282.759
3992,51591.133
3993,52794.227
3994,51204.772
3995,50952.818
3996,49820.375
3997,50112.903
3998,49609.427
3999,48460.744
4000,47048.576
4001,44032.5869
4002,41711.5201
4003,42643.4806
4004,43713.0
4005,45884.0
4006,46614.0
4007,47534.0
4008,46812.0
4009,47065.0
4010,47276.0
4011,47086.0
4012,47342.0
4013,47773.3532
4014,48121.3214
4015,49937.746
4016,51862.394
4017,52537.971
4018,51583.255
4019,51172.243
4020,49589.562
4021,49076.141
4022,49574.399
4023,47573.968
4024,46953.154
4025,45692.506
4026,44064.0419
4027,43934.7921
4028,44043.0
4029,44846.0
4030,46362.0
4031,46153.0
4032,44651.0
4033,45253.0
4034,45493.0
4035,46129.0
4036,46587.0
4037,45674.6105
4038,46834.4506
4039,47842.003
4040,47588.866
4041,47493.137
4042,46451.87
4043,46983.725
4044,46489.696
4045,46650.388
4046,45534.23
4047,44287.765
4048,43889.66
4049,42794.182
4050,40518.4828
4051,40466.7081
4052,43311.0
4053,44609.0
4054,46358.0
4055,46314.0
4056,44433.0
4057,44279.0
4058,44089.0
4059,43976.0
4060,43650.0
4061,43147.6254
4062,42866.1104
4063,42738.473
4064,43154.868
4065,42759.01
4066,42936.458
4067,42494.074
4068,41175.793
4069,41643.203
4070,41368.244
4071,40708.881
4072,39874.241
4073,38150.646
4074,38109.8511
4075,39840.6683
4076,41341.0
4077,43303.0
4078,44614.0
4079,46636.0
4080,46209.0
4081,46672.0
4082,46775.0
4083,47201.0
4084,46788.0
4085,46719.4221
4086,46840.7584
4087,44670.668
4088,45882.706
4089,45369.73
4090,45607.565
4091,44914.976
4092,45399.869
4093,45455.682
4094,44503.654
4095,44427.507
4096,43768.236
4097,43517.819
4098,42976.7106
4099,43428.0
4100,44442.0
4101,46709.0
4102,48025.0
4103,48780.0
4104,48486.0
4105,48351.0
4106,47759.0
4107,47228.0
4108,47677.0
4109,47956.0083
4110,49475.1074
4111,50387.799
4112,50549.021
4113,50916.374
4114,51513.506
4115,51780.862
4116,50694.782
4117,51102.318
4118,66921.888
4119,66584.388
4120,63955.347
4121,62668.5438
4122,60554.8929
4123,60113.5809
4124,60348.0
4125,61408.0
4126,59182.0
4127,59040.0
4128,56385.0
4129,55727.0
4130,52699.0
4131,51121.0
4132,49793.0
4133,50218.4703
4134,54365.835
4135,56577.298
4136,53287.883
4137,52249.916
4138,54322.869
4139,58575.527
4140,59273.106
4141,59468.881
4142,59975.379
4143,59391.185
4144,57697.4
4145,55808.734
4146,54069.6926
4147,53731.2633
4148,55045.0
4149,55252.0
4150,54909.0
4151,54643.0
4152,53350.0
4153,52357.0
4154,52582.0
4155,53265.0
4156,52398.0
4157,52685.0
4158,55877.0
4159,58442.3233
4160,59276.6022
4161,59348.132
4162,58751.5513
4163,58476.4208
4164,59444.235
4165,61535.51
4166,64100.507
4167,64585.128
4168,64689.106
4169,62251.5686
4170,60470.9488
4171,64042.3763
4172,65956.0
4173,65789.0
4174,64843.0
4175,65113.0
4176,64000.0
4177,63650.0
4178,63087.0
4179,62789.0
4180,63066.0
4181,64121.2023
4182,67740.7558
4183,70920.688
4184,72585.287
4185,75107.345
4186,73542.253
4187,74123.601
4188,71430.61
4189,71451.057
4190,68914.514
4191,69093.984
4192,67609.377
4193,63870.702
4194,61106.1902
4195,59669.2826
4196,60625.0
4197,59741.0
4198,59555.0
4199,59533.0
4200,58352.0
4201,57605.0
4202,57231.0
4203,56764.0
4204,55700.0
4205,56169.2531
4206,59942.1174
4207,62083.905
4208,64264.486
4209,64296.182
4210,65185.426
4211,64410.686
4212,66198.106
4213,66331.191
4214,68704.195
4215,66877.557
4216,64427.1358
4217,60792.42
4218,57646.2223
4219,56807.0
4220,58855.0
4221,59436.0
4222,59234.0
4223,59138.0
4224,57753.0
4225,57354.0
4226,56531.0
4227,55964.0
4228,55851.0
4229,56397.6327
4230,57811.2264
4231,58221.765
4232,59357.333
4233,59435.718
4234,61283.08
4235,61649.214
4236,62671.044
4237,62607.339
4238,61395.54
4239,62733.529
4240,63295.567
4241,62086.0114
4242,61604.3782
4243,61967.5666
4244,62327.0
4245,64746.0
4246,62608.0
4247,63841.0
4248,61495.0
4249,59565.0
4250,60044.0
4251,59652.0
4252,59987.0
4253,59559.8624
4254,61064.2177
4255,59069.5077
4256,61425.937
4257,61367.422
4258,62349.67
4259,62836.43
4260,64284.406
4261,64990.914
4262,64822.202
4263,62436.4266
4264,61525.5519
4265,60463.6192
4266,60207.0505
4267,60288.8442
4268,62277.0
4269,62334.0
4270,61872.0
4271,62436.0
4272,62127.0
4273,61537.0
4274,61101.0
4275,57861.0
4276,58270.0
4277,59774.461
4278,63220.637
4279,66630.689
4280,67303.295
4281,68972.372
4282,67077.776
4283,66916.887
4284,68706.149
4285,69015.944
4286,67883.47
4287,66589.892
4288,64557.076
4289,62993.285
4290,60912.8771
4291,60347.8301
4292,60969.0
4293,61910.0
4294,60376.0
4295,59612.0
4296,58114.0
4297,57024.0
4298,55690.0
4299,55013.0
4300,55039.0
4301,55398.1174
4302,58846.8212
4303,61521.043
4304,63184.654
4305,63251.122
4306,59591.957
4307,64472.774
4308,61451.843
4309,59394.687
4310,63754.15
4311,62040.014
4312,58752.024
4313,55952.0279
4314,54630.1097
4315,53512.3714
4316,53223.0
4317,51894.0
4318,51380.0
4319,51399.0
4320,49299.0
4321,49018.0
4322,48695.0
4323,48184.0
4324,49204.999
4325,49593.6664
4326,50977.1762
4327,51231.284
4328,55873.895
4329,56804.863
4330,56004.283
4331,56782.845
4332,56711.98
4333,57379.155
4334,58482.011
4335,57051.881
4336,55461.797
4337,53258.516
4338,51346.3458
4339,50323.0912
4340,50953.001
4341,51823.0
4342,51069.0
4343,52080.0
4344,50774.0
4345,50336.0
4346,49785.0
4347,49603.0
4348,50343.0
4349,50901.8865
4350,53359.8267
4351,57163.802
4352,59588.831
4353,59952.153
4354,59682.619
4355,59977.152
4356,60373.806
4357,61756.917
4358,61513.817
4359,59756.815
4360,58570.302
4361,56428.466
4362,55008.0175
4363,55020.7417
4364,57548.0
4365,57486.0
4366,58140.0
4367,58446.0
4368,56424.0
4369,56267.0
4370,56497.0
4371,56411.0
4372,57228.0
4373,57128.1123
4374,59054.9475
4375,59198.233
4376,60708.051
4377,59043.485
4378,60382.348
4379,59393.097
4380,62194.0
4381,62074.0
4382,60544.0
4383,60008.0
4384,59222.0
4385,57539.0
4386,56351.0
4387,55629.0
4388,55482.0
4389,56428.0
4390,56814.0
4391,55326.0
4392,54157.0
4393,53252.0
4394,52264.0
4395,52253.0
4396,53622.0
4397,52349.0
4398,59159.0
4399,61494.001
4400,64562.0
4401,65004.999
4402,64032.0
