time,mw,u
6417,0.0,3.0
6418,0.0,5.66666666667
6419,0.0,8.0
6420,0.3,4.33333333333
6421,1.2,6.33333333333
6422,1.7,7.0
6423,2.5,7.0
6424,4.0,6.0
6425,4.9,1.66666666667
6426,4.9,8.66666666667
6427,4.2,2.66666666667
6428,3.9,4.66666666667
6429,3.9,4.0
6430,4.6,7.0
6431,3.7,6.0
6432,5.5,6.33333333333
6433,4.9,6.66666666667
6434,3.8,7.33333333333
6435,4.1,4.33333333333
6436,3.0,5.33333333333
6437,1.9,1.66666666667
6438,1.7,1.0
6439,1.4,4.33333333333
6440,1.1,3.0
6441,0.7,6.66666666667
6442,0.4,7.66666666667
6443,0.5,7.0
6444,1.2,4.66666666667
6445,1.3,6.33333333333
6446,1.6,3.66666666667
6447,1.3,5.0
6448,1.3,3.66666666667
6449,1.3,1.0
6450,1.3,0.0
6451,1.5,0.0
6452,1.4,0.0
6453,1.5,0.0
6454,1.2,0.0
6455,0.9,0.0
6456,0.3,0.0
6457,0.2,1.0
6458,0.1,0.0
6459,0.1,0.0
6460,0.0,0.0
6461,0.0,0.0
6462,0.0,0.0
6463,0.0,0.0
6464,0.0,0.0
6465,0.0,0.0
6466,0.0,1.66666666667
6467,0.0,5.0
6468,0.0,4.66666666667
6469,0.9,5.66666666667
6470,0.8,2.66666666667
6471,0.6,4.66666666667
6472,0.6,1.66666666667
6473,0.7,1.0
6474,0.9,0.0
6475,0.8,0.0
6476,0.5,0.0
6477,0.7,0.0
6478,2.3,0.0
6479,4.4,1.0
6480,4.5,2.0
6481,3.6,2.0
6482,4.9,0.0
6483,5.8,1.0
6484,6.1,0.0
6485,4.2,0.0
6486,3.0,0.0
6487,3.1,1.66666666667
6488,2.7,2.66666666667
6489,1.2,0.0
6490,0.1,3.33333333333
6491,0.2,5.66666666667
6492,0.1,7.33333333333
6493,0.8,7.0
6494,1.1,8.0
6495,2.3,12.3333333333
6496,5.8,12.3333333333
6497,7.1,8.33333333333
6498,5.2,4.66666666667
6499,2.7,2.0
6500,1.5,5.33333333333
6501,1.1,6.0
6502,1.3,4.66666666667
6503,1.7,2.66666666667
6504,1.0,2.0
6505,1.1,1.0
6506,1.2,0.0
6507,1.1,0.0
6508,0.9,0.0
6509,0.8,0.0
6510,0.6,3.33333333333
6511,0.1,7.33333333333
6512,0.0,6.66666666667
6513,0.2,8.33333333333
6514,0.7,8.66666666667
6515,1.1,7.33333333333
6516,1.0,7.33333333333
6517,1.0,8.0
6518,0.8,8.33333333333
6519,1.2,11.3333333333
6520,1.3,10.0
6521,1.8,6.0
6522,1.9,5.0
6523,1.1,1.66666666667
6524,1.5,2.0
6525,2.5,2.0
6526,2.8,0.0
6527,1.7,2.66666666667
6528,2.7,1.0
6529,2.5,0.0
6530,2.4,0.0
6531,3.8,1.0
6532,4.8,0.0
6533,4.8,0.0
6534,5.0,2.66666666667
6535,5.2,2.0
6536,3.9,5.33333333333
6537,2.8,6.33333333333
6538,2.0,5.66666666667
6539,1.4,4.0
6540,0.9,6.66666666667
6541,0.9,6.0
6542,0.9,4.33333333333
6543,1.2,4.0
6544,1.2,5.33333333333
6545,1.4,0.0
6546,1.0,1.66666666667
6547,0.2,3.66666666667
6548,0.1,4.66666666667
6549,0.1,1.0
6550,1.0,1.0
6551,3.6,4.66666666667
6552,5.0,1.0
6553,3.6,1.66666666667
6554,3.4,0.0
6555,3.1,0.0
6556,1.4,0.0
6557,0.6,0.0
6558,0.2,3.66666666667
6559,0.0,1.0
6560,0.0,0.0
6561,0.0,3.33333333333
6562,0.0,5.66666666667
6563,0.0,7.0
6564,0.1,6.33333333333
6565,1.3,5.66666666667
6566,2.7,8.0
6567,3.6,7.33333333333
6568,3.8,7.66666666667
6569,5.0,7.0
6570,5.0,6.66666666667
6571,4.5,7.33333333333
6572,4.4,6.33333333333
6573,5.4,3.0
6574,5.9,4.33333333333
6575,6.4,0.0
6576,5.4,0.0
6577,4.8,2.0
6578,4.7,0.0
6579,3.1,0.0
6580,1.4,0.0
6581,0.3,0.0
6582,0.4,0.0
6583,0.5,2.0
6584,0.1,5.0
6585,0.2,6.0
6586,0.2,2.0
6587,0.1,4.66666666667
6588,0.0,2.0
6589,0.0,5.66666666667
6590,0.0,5.66666666667
6591,0.0,6.0
6592,0.1,6.0
6593,0.5,5.0
6594,0.2,3.0
6595,0.3,2.66666666667
6596,0.9,3.0
6597,1.5,3.0
6598,1.9,4.33333333333
6599,1.9,3.25
6600,1.9,3.66666666667
6601,1.9,3.0
6602,1.8,3.0
6603,1.8,6.0
6604,1.9,7.33333333333
6605,1.9,5.33333333333
6606,1.9,6.66666666667
6607,1.9,7.33333333333
6608,3.7,7.0
6609,3.6,8.66666666667
6610,3.6,11.6666666667
6611,6.8,10.0
6612,8.0,12.6666666667
6613,8.4,11.6666666667
6614,8.2,12.6666666667
6615,8.2,13.3333333333
6616,8.3,11.6666666667
6617,7.7,8.0
6618,8.1,9.0
6619,8.4,8.66666666667
6620,7.6,7.33333333333
6621,7.8,7.0
6622,7.2,7.66666666667
6623,7.9,7.33333333333
6624,8.2,6.66666666667
6625,7.4,4.33333333333
6626,6.5,5.66666666667
6627,5.5,7.66666666667
6628,4.4,7.0
6629,6.1,5.33333333333
6630,5.0,6.66666666667
6631,2.7,6.33333333333
6632,3.0,9.33333333333
6633,3.0,9.33333333333
6634,3.6,9.33333333333
6635,3.6,8.66666666667
6636,3.1,9.66666666667
6637,2.3,7.0
6638,1.9,9.33333333333
6639,1.2,11.6666666667
6640,2.0,9.0
6641,2.5,8.66666666667
6642,2.9,12.6666666667
6643,3.4,13.3333333333
6644,6.0,13.6666666667
6645,6.3,12.3333333333
6646,7.0,5.0
6647,6.5,8.75
6648,3.1,9.66666666667
6649,3.3,6.66666666667
6650,2.8,5.33333333333
6651,2.0,5.0
6652,1.9,1.0
6653,0.5,3.66666666667
6654,0.0,2.0
6655,1.3,3.0
6656,0.0,4.66666666667
6657,0.3,2.66666666667
6658,0.6,6.33333333333
6659,0.5,2.66666666667
6660,0.8,6.0
6661,1.4,5.0
6662,1.3,5.0
6663,1.9,2.0
6664,3.3,1.0
6665,2.4,0.0
6666,0.6,0.0
6667,0.1,1.66666666667
6668,0.0,0.0
6669,0.0,1.0
6670,0.6,3.66666666667
6671,1.8,5.75
6672,2.5,6.33333333333
6673,5.4,6.33333333333
6674,5.1,7.0
6675,5.9,5.0
6676,5.1,6.33333333333
6677,6.0,7.33333333333
6678,6.0,5.66666666667
6679,4.8,0.0
6680,2.4,2.0
6681,0.7,2.66666666667
6682,1.1,5.33333333333
6683,1.2,9.33333333333
6684,1.8,6.0
6685,4.6,7.0
6686,2.1,5.0
6687,0.6,4.0
6688,0.4,2.0
6689,0.2,4.33333333333
6690,1.1,8.33333333333
6691,2.7,10.0
6692,3.2,9.66666666667
6693,3.1,9.33333333333
6694,3.5,9.66666666667
6695,2.9,9.0
6696,3.6,8.0
6697,2.7,6.66666666667
6698,1.5,7.66666666667
6699,1.7,8.33333333333
6700,3.0,8.66666666667
6701,2.6,11.3333333333
6702,3.0,5.33333333333
6703,2.9,5.33333333333
6704,0.9,5.0
6705,0.1,5.66666666667
6706,0.1,8.0
6707,0.6,5.66666666667
6708,0.6,5.33333333333
